,tops,$b\bar b$,$\tau^+\tau^-$,$c\bar c$ + $s\bar s$,$\mu^+\mu^-$,other,$\gamma \gamma$,$g g$,phi_mass
2.5,0.0,0.0,0.0,0.2886690524018034,0.3490158879717131,0.0009035132585939409,0.0012905641245557484,0.3601209822433339,2.5
2.5123242089047673,0.0,0.0,0.0,0.2868195632210927,0.34678618828223196,0.0008976464678647769,0.0013058205287759398,0.36419078150003464,2.5123242089047673
2.524709172259586,0.0,0.0,0.0,0.2848778748000975,0.3444448646913869,0.0008914929260929851,0.0013218044127107575,0.3684639631697118,2.524709172259586
2.5371551895646696,0.0,0.0,0.0,0.2827908890970313,0.3419277111526633,0.0008848865342182791,0.0013389183414310479,0.373057594874656,2.5371551895646696
2.5496625617966733,0.0,0.0,0.0,0.30313858335593646,0.3283961355093945,0.0008497807080044614,0.0013152208918076837,0.36630027953485694,2.5496625617966733
2.562231591415972,0.0,0.0,0.0,0.35052647845393603,0.30256301011269676,0.0007828537609155732,0.0012388920219226682,0.34488876565052895,2.562231591415972
2.574862582373974,0.0,0.0,0.0,0.4038767402724669,0.2746006861956321,0.0007104325356286116,0.0011488199420580157,0.31966332105421424,2.574862582373974
2.587555840120472,0.0,0.0,0.0,0.45619329088829175,0.24775814335826898,0.0006409232201836626,0.0010583714037943703,0.29434927112946113,2.587555840120472
2.60031167161103,0.0,0.0,0.0,0.5045675850366524,0.2233005383562418,0.0005775972372404605,0.0009734171993741062,0.27058086217049104,2.60031167161103
2.613130385314406,0.0,0.0,0.0,0.5480217329673086,0.20157946369712845,0.0005213619261730277,0.0008962020099080924,0.24898123939948172,2.613130385314406
2.6260122912200097,0.0,0.0,0.0,0.5864986067969445,0.182527240098451,0.0004720400208809323,0.0008271810156916231,0.22967493206803208,2.6260122912200097
2.6389577008454026,0.0,0.0,0.0,0.620347820886895,0.1659030543463614,0.00042900666051676076,0.000765974600322402,0.21255414350590424,2.6389577008454026
2.6519669272438278,0.0,0.0,0.0,0.6500673388631482,0.15141321580856515,0.0003915005392211905,0.0007118609936758338,0.19741608379538964,2.6519669272438278
2.6650402850117825,0.0,0.0,0.0,0.6761787972823835,0.1387668598282549,0.0003587679791984651,0.0006640224836316087,0.18403155242653146,2.6650402850117825
2.678178090296625,0.0,0.0,0.0,0.6991716797780236,0.12769918196159835,0.00033012298389154194,0.0006216619252788706,0.17217735335120762,2.678178090296625
2.6913806608042194,0.0,0.0,0.0,0.7194820552414136,0.11797885284722555,0.0003049663664630627,0.0005840523761667246,0.16165007316873106,2.6913806608042194
2.70464831580662,0.0,0.0,0.0,0.7374880212692788,0.109408111830552,0.0002827859457511804,0.0005505532208748486,0.1522705277335431,2.70464831580662
2.7179813761497913,0.0,0.0,0.0,0.7535127030923777,0.10181978960997323,0.0002631488065910645,0.0005206102580805412,0.14388374823297734,2.7179813761497913
2.731380164261366,0.0,0.0,0.0,0.7678302188237859,0.0950733256475784,0.00024569096777374034,0.0004937487559375005,0.13635701580492454,2.731380164261366
2.744845004158444,0.0,0.0,0.0,0.7806723846153142,0.08905073728316759,0.00023010693180228523,0.00046956401080111874,0.12957720715891505,2.744845004158444
2.758376221455426,0.0,0.0,0.0,0.7922351426221199,0.0836529439507967,0.00021614015859759505,0.00044771160487601684,0.1234480616636098,2.758376221455426
2.77197414337189,0.0,0.0,0.0,0.8026843027982427,0.07879658066010714,0.00020357480900035603,0.00042789834850209384,0.11788764338414785,2.77197414337189
2.7856390987405013,0.0,0.0,0.0,0.8121604861823923,0.07441130985478156,0.00019222878066107668,0.0004098742795952187,0.11282610090256988,2.7856390987405013
2.799371418014968,0.0,0.0,0.0,0.8207832942580058,0.07043758781759808,0.0001819479221719887,0.0003934257921955182,0.10820374421002867,2.799371418014968
2.813171433278028,0.0,0.0,0.0,0.8286547850971735,0.06682482400275085,0.0001726012654587532,0.00037836982851792395,0.10396941980609889,2.813171433278028
2.827039478249485,0.0,0.0,0.0,0.8358623535181534,0.06352987027586958,0.00016407711297039885,0.00036454901434452224,0.10007915007866194,2.827039478249485
2.8409758882942735,0.0,0.0,0.0,0.8424811105489058,0.06051578260553637,0.00015627983070668784,0.00035182760419480056,0.09649499941065623,2.8409758882942735
2.8549810004305716,0.0,0.0,0.0,0.8485758477933152,0.05775080566209375,0.00014912721867153957,0.0003400881087186457,0.09318413121720083,2.8549810004305716
2.869055153337951,0.0,0.0,0.0,0.8542026602833851,0.05520753889445743,0.00014254835139472147,0.0003292284904050581,0.09011802398035765,2.869055153337951
2.8831986873655655,0.0,0.0,0.0,0.8594102894366825,0.05286225004366132,0.00013648180032156253,0.0003191598298267165,0.08727181888950777,2.8831986873655655
2.897411944540383,0.0,0.0,0.0,0.8642412369880597,0.05069430841017557,0.00013087416635261217,0.00030980438016447635,0.08462377605524772,2.897411944540383
2.9116952685754565,0.0,0.0,0.0,0.8687326915098481,0.04868571548945735,0.00012567886454430596,0.00030109394176510345,0.08215482019438518,2.9116952685754565
2.926049004878235,0.0,0.0,0.0,0.8729173014084342,0.04682071492436271,0.00012085511421264271,0.00029296850050637707,0.0798481600524842,2.926049004878235
2.9404735005589178,0.0,0.0,0.0,0.8768238219101598,0.0450854672285664,0.00011636709676448583,0.00028537508391877415,0.07768896868059058,2.9404735005589178
2.9549691044388458,0.0,0.0,0.0,0.8804776583895787,0.04346777755528357,0.00011218325088722971,0.0002782667973157795,0.0756641140069348,2.9549691044388458
2.9695361670589406,0.0,0.0,0.0,0.8839013241824127,0.041956867043466184,0.00010827568057658738,0.00027160200911617474,0.07376193108442833,2.9695361670589406
2.984175040688179,0.0,0.0,0.0,0.8871148276454075,0.0405431800816653,0.00010461965616558722,0.00026534366012492724,0.07197202895663664,2.984175040688179
2.9988860793321126,0.0,0.0,0.0,0.8901360005015648,0.03921822127674279,0.00010119319226580985,0.0002594586760750472,0.07028512635335145,2.9988860793321126
3.0136696387414275,0.0,0.0,0.0,0.8929807772935259,0.03797441707302147,9.797668953221274e-05,0.0002539174664896977,0.06869291147743074,3.0136696387414275
3.028526076420549,0.0,0.0,0.0,0.895663434001038,0.03680499789826496,9.495262957358587e-05,0.0002486934958966185,0.06718792197522688,3.028526076420549
3.043455751636286,0.0,0.0,0.0,0.8981967924421272,0.03570389746118219,9.210531426864502e-05,0.00024376291587408847,0.0657634418665478,3.043455751636286
